index,Cement(kg/m3),Water(kg/m3),Coarse aggregate(kg/m3),Fine aggregate(kg/m3),FA (kg/m3),SF (kg/m3),GGBFS (kg/m3),SP (kg/m3),GUI_prediction_MPa,Pipeline_prediction_MPa,Absolute_difference_MPa
1424,300.0,160.0,1246.0,741.0,0.0,0.0,100.0,0.0,41.21401861549155,41.21401861549155,0.0
1387,382.5,126.0,1125.0,675.0,0.0,67.5,0.0,14.0,97.31702109770615,97.31702109770615,0.0
973,473.9,185.5,793.0,881.6,0.0,41.208,0.0,11.332376,61.99611071371857,61.99611071371857,0.0
1128,137.0,155.0,1083.0,670.0,0.0,13.0,296.0,0.0,43.65166747656154,43.65166747656154,0.0
1131,277.0,155.0,1016.0,628.0,111.0,28.0,138.0,0.0,62.21590693289829,62.21590693289829,0.0
737,99.0,133.0,1115.0,770.0,127.0,0.0,42.0,2.144,34.15794443019645,34.15794443019645,0.0
1173,430.0,205.0,651.0,1047.0,0.0,20.0,0.0,7.065,41.02033394939987,41.02033394939987,0.0
701,219.96,160.0,1270.0,605.0,169.2,33.84,126.9,3.6,36.89434576574173,36.89434576574173,0.0
1144,322.0,200.48,1228.0,611.0,36.0,0.0,0.0,0.0,33.10753918672517,33.10753918672517,0.0
1119,194.0,155.0,1041.0,760.0,97.0,0.0,97.0,0.0,36.79981281138413,36.79981281138413,0.0
772,378.63,185.45,739.27,821.85,84.9981,51.514,0.0,11.3331262,56.71968574114858,56.71968574114858,0.0
670,237.75,190.0,1396.0,698.0,63.4,15.85,0.0,0.0,16.676518435557973,16.676518435557973,0.0
233,297.8,201.3,878.4,655.3,106.9,0.0,137.2,6.0,52.42729798715099,52.42729798715099,0.0
1013,296.2,185.5,674.2,749.5,198.3135,20.604,0.0,11.332585,51.652216933474214,51.652216933474214,0.0
196,237.0,247.0,853.0,695.0,71.0,0.0,92.0,6.0,29.62316977084886,29.62316977084886,0.0
1222,408.1,195.904,1235.0,523.0,58.3,29.2,116.6,4.6,61.73436551842362,61.73436551842362,0.0
81,515.7,184.2,1040.5,445.5,221.0,0.0,0.0,2.3,65.8298616819499,65.8298616819499,0.0
1364,273.0,168.0,1150.0,688.0,0.0,0.0,147.0,2.9,65.93643513903187,65.93643513903187,0.0
1121,194.0,155.0,1054.0,769.0,0.0,0.0,194.0,0.0,41.3220784465181,41.3220784465181,0.0
111,459.0,153.0,1122.5,653.0,0.0,51.0,0.0,17.85,67.35704483690616,67.35704483690616,0.0
1239,408.1,205.216,1235.0,523.0,0.0,58.3,174.9,5.67,61.3040544055892,61.3040544055892,0.0
1316,245.0,279.0,799.0,526.0,0.0,0.0,385.0,0.0,27.746516204924895,27.746516204924895,0.0
934,269.0,134.4,1280.0,307.0,38.0,38.0,0.0,0.0,18.5035230991092,18.5035230991092,0.0
344,180.0,180.0,595.0,908.0,360.0,60.0,0.0,2.28,55.66310385880616,55.66310385880616,0.0
1228,466.4,200.544,1235.0,523.0,0.0,43.7,116.6,5.6,67.4907493487059,67.4907493487059,0.0
622,350.0,190.0,735.0,910.0,150.0,0.0,0.0,6.75,41.91162466099083,41.91162466099083,0.0
567,475.0,170.0,1100.0,640.0,25.0,0.0,0.0,15.0,41.79718146938527,41.79718146938527,0.0
1108,300.0,156.0,1779.0,1300.0,100.0,0.0,0.0,2.4,40.56137821594528,40.56137821594528,0.0
